# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.8289759256273622,0.343600542634871,0.8219115843028176,1.00744857385182,70.03102373188547,0.0,-0.10150266643964152,-9.851957934471102,-4.763981963883481,-6.480212248105443
 0.8429042110428838,0.35524375449691326,0.8359400683351254,1.007193894567558,69.96339982267325,0.0,-0.10171659530772958,-9.83123743942311,-4.8551495891127106,-6.545502372290076
 0.856641378446862,0.36691722563366996,0.8497727947448763,1.006956237990168,69.89545580163595,0.0,-0.10194058390131044,-9.80963578713762,-4.945999349009961,-6.613427442905111
 0.8701959914401172,0.3786205317592243,0.8634186849434862,1.0067340325688414,69.82718666380177,0.0,-0.10217459776274825,-9.78716845376796,-5.036598084220541,-6.683978012183897
 0.8835759717801902,0.39035324895365375,0.8768859816101515,1.006525893489604,69.75858738964548,0.0,-0.10241860683581969,-9.76385083623557,-5.127008591397564,-6.75714798371135
 0.8967886636971751,0.4021149536678825,0.8901823177386802,1.0063305957687696,69.6896529435767,0.0,-0.10267258582096982,-9.739698206721899,-5.217290049739998,-6.832934492809772
 0.909840890187547,0.413905222728634,0.9033147769423651,1.0061470518744229,69.62037827252614,0.0,-0.10293651418006294,-9.714725702200658,-5.307498387471682,-6.911337142228281
 0.9227390024740811,0.42572363334343116,0.916289946330812,1.0059742929973712,69.55075830440921,0.0,-0.10321037500230949,-9.688948421877388,-5.397686620360369,-6.992359105358814
 0.9354889236176933,0.43756976310569523,0.929113963045888,1.0058114533124776,69.48078794678773,0.0,-0.10349415642568,-9.662381283508584,-5.48790512767519,-7.07600512180592
 0.9480961871032924,0.44944318999990057,0.9417925553604918,1.0056577566643399,69.4104620853846,0.0,-0.10378785042753258,-9.63503912915343,-5.578201921730484,-7.1622834057872735
 0.960565971088738,0.4613434924068251,0.9543310790960144,1.0055125052813483,69.33977558268452,0.0,-0.10409145310166272,-9.606936690789903,-5.668622871300589,-7.251204164854956
 0.9729031288970916,0.4732702491088755,0.9667345499929197,1.0053750701402837,69.26872327656795,0.0,-0.10440496476217673,-9.578088573449476,-5.759211904419876,-7.342779797948906
 0.9851122162428838,0.4852230392954832,0.9790076725699901,1.0052448827225609,69.19729997891298,0.0,-0.10472838965304929,-9.548509275401466,-5.850011195110776,-7.43702523532141
 0.9971975156092238,0.49720144256860416,0.9911548659260574,1.0051214279308398,69.12550047419651,0.0,-0.10506173590256988,-9.518213185886825,-5.94106132914221,-7.533957684575628
 1.00921795553654,0.5092050389482871,0.9985987578046138,0.6192695045744844,69.05331951820301,0.0,-0.10540501547922305,-9.487214583229347,-6.00485143887838,-5.3068032552793305
 1.0212463254665871,0.5212334088783342,1.0,0.11649477057450952,68.98075183657606,0.0,-0.10575824437429468,-9.455527613155589,-6.03304371656221,-2.343815317269594
 1.0332990498203067,0.5332861332320539,1.0,0.0,68.907792123568,0.0,-0.10612144232636073,-9.42316630907304,-6.053379374392979,-1.6872249985948515
 1.0453757099063476,0.5453627933180948,1.0,0.0,68.83443504061013,0.0,-0.1064946326337889,-9.390144604177143,-6.074285641496598,-1.7311298781841038
 1.0574758874746333,0.5574629708863804,1.0,0.0,68.76067521506278,0.0,-0.10687784256141802,-9.35647629138232,-6.095763895291169,-1.7750362482998876
 1.0695991647223868,0.5695862481341339,1.0,0.0,68.68650723881855,0.0,-0.10727110263779162,-9.322175081732588,-6.117815729898033,-1.8189664524045623
 1.081745124300252,0.5817322077119993,1.000000000000009,7.495355754778794e-13,68.61192566700903,0.0,-0.10767444742508085,-9.287254533586468,-6.140442945770384,-1.8629418060626077
 1.0939133493185076,0.5939004327302548,1.0,-7.481640739112027e-13,68.53692501668223,0.0,-0.10808791489552252,-9.25172810453969,-6.163647550424898,-1.9069835263319355
 1.10610342335339,0.6060905067651372,1.0,0.0,68.46149976547431,0.0,-0.10851154661588933,-9.215609132729568,-6.187431757353999,-1.9511125905422708
 1.1183149304535074,0.6183020138652546,1.0,0.0,68.38564435028789,0.0,-0.10894538750269851,-9.178910855452514,-6.211797984025251,-1.9953496707230984
 1.1305474551463686,0.6305345385581159,1.000000000000009,7.442313856304102e-13,68.30935316599164,0.0,-0.10938948635077861,-9.141646362551754,-6.236748848811462,-2.0397150557784505
 1.1428005824450007,0.6427876658567481,1.0,-7.429800229809552e-13,68.2326205640713,0.0,-0.109843895099467,-9.10382865697242,-6.2622871737319405,-2.0842291358001943
 1.1550738978546953,0.6550609812664427,1.000000000000009,7.417579112107935e-13,68.15544085135843,0.0,-0.11030866956363646,-9.065470592255721,-6.288415976983123,-2.128911575966224
 1.1673669873798438,0.6673540707915914,1.000000000000009,0.0,68.077808288636,0.0,-0.1107838687122877,-9.026584931756261,-6.315138481957877,-2.1737826703439453
 1.1796794375309045,0.6796665209426521,1.0,-7.394002566696251e-13,67.99971708940666,0.0,-0.11126955491884229,-8.987184326650532,-6.34245810307897,-2.21886146022187
 1.1920108353314616,0.6919979187432093,1.000000000000009,7.382641407866225e-13,67.92116141849915,0.0,-0.11176579419795425,-8.947281296358415,-6.370378458146907,-2.2641679004691513
 1.204360768325419,0.7043478517371666,1.0,-7.371561292179193e-13,67.84213539076018,0.0,-0.11227265616743513,-8.906888232061366,-6.398903360661432,-2.3097212372311917
 1.2167288245843075,0.7167159079960551,0.999999999999991,-7.270994173398004e-13,67.76263306970267,0.0,-0.11279021342803956,-8.866017446079242,-6.4280368227114355,-2.35554087402104
 1.229114592714706,0.7291016761264536,1.0,7.260596520770199e-13,67.68264846624763,0.0,-0.11331854239101093,-8.824681106022819,-6.45778304687762,-2.401645489646896
 1.2415176618657928,0.7415047452775405,1.0000000000000089,7.160956767078091e-13,67.60217553725577,0.0,-0.11385772285067562,-8.78289126958476,-6.488146442753322,-2.4480550342688203
 1.253937621737026,0.7539247051487735,0.999999999999991,-1.4391826448542569e-12,67.5212081842583,0.0,-0.1144078377690571,-8.740659901453547,-6.519131610482202,-2.494788070986282
 1.2663740625859405,0.7663611459976881,1.0,7.231012963205324e-13,67.43974025211253,0.0,-0.1149689740740566,-8.6979988127567,-6.550743346548994,-2.5418635806521714
 1.278826575236085,0.7788136586478326,1.0,0.0,67.35776552756057,0.0,-0.11554122167753102,-8.65491973757161,-6.5829866513724475,-2.5893011096904153
